"sp" "sex" "FL" "CL" "CW" "BD" "set"
"B" 1 8.1 16.1 19 7 "train"
"B" 1 8.8 18.1 20.8 7.4 "train"
"B" 1 9.2 19 22.4 7.7 "train"
"B" 1 9.6 20.1 23.1 8.2 "train"
"B" 1 9.8 20.3 23 8.2 "train"
"B" 1 10.8 23 26.5 9.8 "train"
"B" 1 11.1 23.8 27.1 9.8 "train"
"B" 1 11.6 24.5 28.4 10.4 "train"
"B" 1 11.8 24.2 27.8 9.7 "train"
"B" 1 11.8 25.2 29.3 10.3 "train"
"B" 1 12.2 27.3 31.6 10.9 "train"
"B" 1 12.3 26.8 31.5 11.4 "train"
"B" 1 12.6 27.7 31.7 11.4 "train"
"B" 1 12.8 27.2 31.8 10.9 "train"
"B" 1 12.8 27.4 31.5 11 "train"
"B" 1 12.9 26.8 30.9 11.4 "train"
"B" 1 13.1 28.2 32.3 11 "train"
"B" 1 13.1 28.3 32.4 11.2 "train"
"B" 1 13.3 27.8 32.3 11.3 "train"
"B" 1 13.9 29.2 33.3 12.1 "train"
"B" 1 14.3 31.3 35.5 12.7 "train"
"B" 1 14.6 31.9 36.4 13.7 "train"
"B" 1 15 31.4 36.4 13.2 "train"
"B" 1 15 32.4 37 13.4 "train"
"B" 1 15 32.5 37.2 13.6 "train"
"B" 1 15.2 32.3 36.7 13.6 "train"
"B" 1 15.4 33 37.5 13.6 "train"
"B" 1 15.7 35.8 40.3 14.5 "train"
"B" 1 15.9 34 38.9 14.2 "train"
"B" 1 16.1 33.8 39 14.4 "train"
"B" 1 16.1 34.9 40.7 15.7 "train"
"B" 1 16.2 36 41.7 15.4 "train"
"B" 1 16.3 35.6 40.9 14.9 "train"
"B" 1 16.4 35.7 41.8 15.2 "train"
"B" 1 16.6 38.1 43.4 14.9 "train"
"B" 1 16.8 36.2 41.8 14.9 "train"
"B" 1 16.9 37.3 42.7 15.6 "train"
"B" 1 17.1 36.4 42 15.1 "train"
"B" 1 17.1 36.7 41.9 15.6 "train"
"B" 1 17.2 37.6 43.9 16.1 "train"
"B" 1 17.7 38.7 44.5 16 "train"
"B" 1 17.9 39.7 44.6 16.8 "train"
"B" 1 18 39.2 44.4 16.2 "train"
"B" 1 18.8 42.1 49 17.8 "train"
"B" 1 19.3 41.6 47.4 17.8 "train"
"B" 1 19.3 40.9 46.5 16.8 "test"
"B" 1 19.7 41.9 48.5 17.8 "test"
"B" 1 19.8 43.2 49.7 18.6 "test"
"B" 1 19.8 42.4 48.9 18.3 "test"
"B" 1 21.3 47.1 54.6 20 "test"
"B" 0 7.2 14.7 17.1 6.1 "train"
"B" 0 9 19.3 22.7 7.7 "train"
"B" 0 9.1 18.5 21.6 7.7 "train"
"B" 0 9.1 19.2 22.2 7.7 "train"
"B" 0 9.5 19.6 22.4 7.8 "train"
"B" 0 9.8 20.4 23.9 8.8 "train"
"B" 0 10.1 20.9 24.4 8.4 "train"
"B" 0 10.3 21.3 24.7 8.9 "train"
"B" 0 10.4 21.7 25.4 8.3 "train"
